,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,profit.datatype,profit.type,profit.value,country
56,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q750,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,pt,literal,"Organização de Estados Ibero-Americanos para a Educação, a Ciência e a Cultura",,,,,,,wd:Q739
57,uri,http://www.wikidata.org/entity/Q1770208,en,literal,Claro,http://www.w3.org/2001/XMLSchema#dateTime,literal,2003-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q739,literal,http://www.wikidata.org/entity/Q249,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q739
58,uri,http://www.wikidata.org/entity/Q5839170,en,literal,EIA University,http://www.w3.org/2001/XMLSchema#dateTime,literal,1978-02-14T00:00:00Z,uri,http://www.wikidata.org/entity/Q739,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q739
59,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q800,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",,,,,,,wd:Q739
60,uri,http://www.wikidata.org/entity/Q6081858,en,literal,Institución Universitaria Politécnico Grancolombiano,,,,uri,http://www.wikidata.org/entity/Q739,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q2841,literal,,,,,,,,,,,wd:Q739
61,uri,http://www.wikidata.org/entity/Q100156171,en,literal,Popsy,http://www.w3.org/2001/XMLSchema#dateTime,literal,1981-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q739,literal,http://www.wikidata.org/entity/Q1445627,literal,,literal,,literal,http://www.wikidata.org/entity/Q579820,literal,,,,,,,,,,,wd:Q739
62,uri,http://www.wikidata.org/entity/Q1054314,en,literal,International Center for Tropical Agriculture,http://www.w3.org/2001/XMLSchema#dateTime,literal,1962-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q739,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q989858,literal,,,,,,,,,,,wd:Q739
63,uri,http://www.wikidata.org/entity/Q1569421,en,literal,University of the Andes,http://www.w3.org/2001/XMLSchema#dateTime,literal,1948-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q739,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,wd:Q739
64,uri,http://www.wikidata.org/entity/Q421023,en,literal,Organization of Ibero-American States,http://www.w3.org/2001/XMLSchema#dateTime,literal,1949-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q804,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q5740815,literal,,es,literal,"Organización de Estados Iberoamericanos para la Educación, la Ciencia y la Cultura",,,,,,,wd:Q739
65,uri,http://www.wikidata.org/entity/Q4854122,en,literal,Bank of Bogota,http://www.w3.org/2001/XMLSchema#dateTime,literal,1980-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q739,literal,"http://www.wikidata.org/entity/Q837171, http://www.wikidata.org/entity/Q806718",literal,,literal,,literal,http://www.wikidata.org/entity/Q2841,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,19544,,,,wd:Q739
