,businessLabel.xml:lang,businessLabel.type,businessLabel.value,employees.datatype,employees.type,employees.value,assets.datatype,assets.type,assets.value,profit.datatype,profit.type,profit.value,equity.datatype,equity.type,equity.value,markcap.datatype,markcap.type,markcap.value,country
1203,en,literal,Thredup,,,,,,,,,,,,,,,,wd:Q30
1204,en,literal,"Truebill, Inc.",,,,,,,,,,,,,,,,wd:Q30
1205,en,literal,MrBeast Burger,,,,,,,,,,,,,,,,wd:Q30
1206,en,literal,UWM Holdings,,,,,,,,,,,,,,,,wd:Q30
1207,en,literal,Verkada Inc.,,,,,,,,,,,,,,,,wd:Q30
1208,en,literal,Templeton Press,,,,,,,,,,,,,,,,wd:Q30
1209,en,literal,Lizos Music,,,,,,,,,,,,,,,,wd:Q30
1210,en,literal,Taub Family Outpost,,,,,,,,,,,,,,,,wd:Q30
1211,en,literal,Grandata,,,,,,,,,,,,,,,,wd:Q30
1212,en,literal,Myriapod Productions,,,,,,,,,,,,,,,,wd:Q30
1213,en,literal,PVD Products,,,,,,,,,,,,,,,,wd:Q30
1214,en,literal,Granity Studios,,,,,,,,,,,,,,,,wd:Q30
1215,en,literal,Lightforge Games,,,,,,,,,,,,,,,,wd:Q30
1216,en,literal,LoveShackFancy,,,,,,,,,,,,,,,,wd:Q30
1217,en,literal,Monkey Knife Fight,,,,,,,,,,,,,,,,wd:Q30
1218,en,literal,Del Dotto Estate Winery & Caves,,,,,,,,,,,,,,,,wd:Q30
1219,en,literal,Whirlpool Corporation,http://www.w3.org/2001/XMLSchema#decimal,literal,92000,,,,,,,,,,,,,wd:Q30
1220,en,literal,ARCap REIT Inc.,,,,,,,,,,,,,,,,wd:Q30
1221,en,literal,EdgeDB Inc.,,,,,,,,,,,,,,,,wd:Q30
1222,en,literal,Twin Elephant Brewing,,,,,,,,,,,,,,,,wd:Q30
1223,en,literal,WONDER,,,,,,,,,,,,,,,,wd:Q30
1224,en,literal,Rum Bullions Island Bar,,,,,,,,,,,,,,,,wd:Q30
1225,en,literal,I Love Sugar,,,,,,,,,,,,,,,,wd:Q30
1226,en,literal,OnPoint Community Credit Union,,,,,,,,,,,,,,,,wd:Q30
1227,en,literal,Cellaxs,,,,,,,,,,,,,,,,wd:Q30
1228,en,literal,Habitat for Humanity ReStore,,,,,,,,,,,,,,,,wd:Q30
1229,en,literal,Na Hoku,,,,,,,,,,,,,,,,wd:Q30
1230,en,literal,Kwik Fill,,,,,,,,,,,,,,,,wd:Q30
1231,en,literal,The Infinite Couple,,,,,,,,,,,,,,,,wd:Q30
1232,en,literal,Cajun Kitchen Cafe,,,,,,,,,,,,,,,,wd:Q30
1233,en,literal,Mobile Modular Portable Storage,,,,,,,,,,,,,,,,wd:Q30
1234,en,literal,PharmaBox,,,,,,,,,,,,,,,,wd:Q30
1235,en,literal,Rug Source,,,,,,,,,,,,,,,,wd:Q30
1236,en,literal,Zen Leaf,,,,,,,,,,,,,,,,wd:Q30
1237,en,literal,My EyeLab,,,,,,,,,,,,,,,,wd:Q30
1238,en,literal,Penguin Pop Games,,,,,,,,,,,,,,,,wd:Q30
1239,en,literal,Video School,,,,,,,,,,,,,,,,wd:Q30
1240,en,literal,Wagner CAT,,,,,,,,,,,,,,,,wd:Q30
1241,en,literal,Western States CAT,,,,,,,,,,,,,,,,wd:Q30
1242,en,literal,Ziegler CAT,,,,,,,,,,,,,,,,wd:Q30
1243,en,literal,Moderna,http://www.w3.org/2001/XMLSchema#decimal,literal,1300,http://www.w3.org/2001/XMLSchema#decimal,literal,1589422000,http://www.w3.org/2001/XMLSchema#decimal,literal,8362000000,http://www.w3.org/2001/XMLSchema#decimal,literal,1174810000,,,,wd:Q30
1244,en,literal,Cooper Electric,,,,,,,,,,,,,,,,wd:Q30
1245,en,literal,Good2Go Stores,,,,,,,,,,,,,,,,wd:Q30
1246,en,literal,Independent Electric,,,,,,,,,,,,,,,,wd:Q30
1247,en,literal,The Walt Disney Company,http://www.w3.org/2001/XMLSchema#decimal,literal,201000,http://www.w3.org/2001/XMLSchema#decimal,literal,203631000000,http://www.w3.org/2001/XMLSchema#decimal,literal,-2864000000,,,,,,,wd:Q30
1248,en,literal,Miami Celebrities,,,,,,,,,,,,,,,,wd:Q30
1249,en,literal,HomeTowne Studios,,,,,,,,,,,,,,,,wd:Q30
1250,en,literal,Luma Touch,,,,,,,,,,,,,,,,wd:Q30
1251,en,literal,The Hertz Corporation,http://www.w3.org/2001/XMLSchema#decimal,literal,38000,,,,,,,,,,,,,wd:Q30
1252,en,literal,The Walt Disney Company,http://www.w3.org/2001/XMLSchema#decimal,literal,201000,http://www.w3.org/2001/XMLSchema#decimal,literal,203631000000,http://www.w3.org/2001/XMLSchema#decimal,literal,1995000000,,,,,,,wd:Q30
1253,en,literal,Dramatic Labs,,,,,,,,,,,,,,,,wd:Q30
1254,en,literal,Valkyrie Entertainment,,,,,,,,,,,,,,,,wd:Q30
1255,en,literal,West Coast Self-Storage,,,,,,,,,,,,,,,,wd:Q30
1256,en,literal,First National Bank of Long Island,,,,,,,,,,,,,,,,wd:Q30
1257,en,literal,PIAA USA,,,,,,,,,,,,,,,,wd:Q30
1258,en,literal,Sibcy Cline,,,,,,,,,,,,,,,,wd:Q30
1259,en,literal,The Walt Disney Company,http://www.w3.org/2001/XMLSchema#decimal,literal,201000,http://www.w3.org/2001/XMLSchema#decimal,literal,203631000000,http://www.w3.org/2001/XMLSchema#decimal,literal,3145000000,,,,,,,wd:Q30
1260,en,literal,HCPro Inc,,,,,,,,,,,,,,,,wd:Q30
1261,en,literal,Quantum Fiber,,,,,,,,,,,,,,,,wd:Q30
1262,en,literal,Dunaway's,,,,,,,,,,,,,,,,wd:Q30
1263,en,literal,First National Bank Texas,,,,,,,,,,,,,,,,wd:Q30
1264,en,literal,Mendocino Farms,,,,,,,,,,,,,,,,wd:Q30
1265,en,literal,TESA Collective,,,,,,,,,,,,,,,,wd:Q30
1266,en,literal,Link Genie,,,,,,,,,,,,,,,,wd:Q30
1267,en,literal,Metro Nightclub & Restaurant,,,,,,,,,,,,,,,,wd:Q30
1268,en,literal,Old Car City U.S.A.,,,,,,,,,,,,,,,,wd:Q30
1269,en,literal,Saltzer Health,,,,,,,,,,,,,,,,wd:Q30
1270,en,literal,Disorder Press,,,,,,,,,,,,,,,,wd:Q30
1271,en,literal,Meringue Interactive,,,,,,,,,,,,,,,,wd:Q30
1272,en,literal,Jill's Downtown Diner,,,,,,,,,,,,,,,,wd:Q30
1273,en,literal,Me Spa,,,,,,,,,,,,,,,,wd:Q30
1274,en,literal,Anello Photonics,,,,,,,,,,,,,,,,wd:Q30
1275,en,literal,Bank-Fund Staff Federal Credit Union,,,,,,,,,,,,,,,,wd:Q30
1276,en,literal,Faraday Technology,,,,,,,,,,,,,,,,wd:Q30
1277,en,literal,Guthrie's Alley Cat,,,,,,,,,,,,,,,,wd:Q30
1278,en,literal,House Tipster,,,,,,,,,,,,,,,,wd:Q30
1279,en,literal,Marble.com,,,,,,,,,,,,,,,,wd:Q30
1280,en,literal,MW Components,,,,,,,,,,,,,,,,wd:Q30
1281,en,literal,Harvest Fare,,,,,,,,,,,,,,,,wd:Q30
1282,en,literal,Cisco,http://www.w3.org/2001/XMLSchema#decimal,literal,77500,http://www.w3.org/2001/XMLSchema#decimal,literal,113373000000,http://www.w3.org/2001/XMLSchema#decimal,literal,11812000000,http://www.w3.org/2001/XMLSchema#decimal,literal,41202000000,http://www.w3.org/2001/XMLSchema#decimal,literal,234790000000,wd:Q30
1283,en,literal,SVB Private,,,,,,,,,,,,,,,,wd:Q30
1284,en,literal,Brookfield Real Estate Income Trust,,,,,,,,,,,,,,,,wd:Q30
1285,en,literal,Abroms-Engel Institute for the Visual Arts,,,,,,,,,,,,,,,,wd:Q30
1286,en,literal,Enchanted Learning,,,,,,,,,,,,,,,,wd:Q30
1287,en,literal,Taco Bell Cantina,,,,,,,,,,,,,,,,wd:Q30
1288,en,literal,Breaking Media,,,,,,,,,,,,,,,,wd:Q30
1289,en,literal,Pure Green - Juice Bar Brooklyn,,,,,,,,,,,,,,,,wd:Q30
1290,en,literal,Signia by Hilton,,,,,,,,,,,,,,,,wd:Q30
1291,en,literal,Moetic,,,,,,,,,,,,,,,,wd:Q30
1292,en,literal,Friends Historical Association,,,,,,,,,,,,,,,,wd:Q30
1293,en,literal,Pallet Services of Florida,,,,,,,,,,,,,,,,wd:Q30
1294,en,literal,D'arcy's Pint,,,,,,,,,,,,,,,,wd:Q30
1295,en,literal,Hart's Turkey Farm,,,,,,,,,,,,,,,,wd:Q30
1296,en,literal,Teddy Fresh,,,,,,,,,,,,,,,,wd:Q30
1297,en,literal,Big Bear Theatre Project,,,,,,,,,,,,,,,,wd:Q30
