company_id,edge_type,val_id,node_type
5040244658.0,Macro Industry,High Technology,Industry
4295894061.0,Macro Industry,Energy and Power,Industry
4295860299.0,Macro Industry,Healthcare,Industry
4295865972.0,Macro Industry,Consumer Staples,Industry
5076702932.0,Macro Industry,Energy and Power,Industry
5061045419.0,Macro Industry,High Technology,Industry
4295871291.0,Macro Industry,Industrials,Industry
4295877080.0,Macro Industry,Consumer Products and Services,Industry
4295873497.0,Macro Industry,Healthcare,Industry
4296849849.0,Macro Industry,Industrials,Industry
5000843440.0,Macro Industry,Energy and Power,Industry
5081077904.0,Macro Industry,Retail,Industry
4297852561.0,Macro Industry,Consumer Staples,Industry
4297905458.0,Macro Industry,Materials,Industry
5045730518.0,Macro Industry,Retail,Industry
4295888654.0,Macro Industry,Retail,Industry
4296717654.0,Macro Industry,Energy and Power,Industry
4295875697.0,Macro Industry,High Technology,Industry
5052535675.0,Macro Industry,Financials,Industry
4295915684.0,Macro Industry,Financials,Industry
4295899858.0,Macro Industry,Industrials,Industry
4295877203.0,Macro Industry,Retail,Industry
4295909989.0,Macro Industry,Consumer Products and Services,Industry
4295902703.0,Macro Industry,Energy and Power,Industry
4296896513.0,Macro Industry,High Technology,Industry
4295857581.0,Macro Industry,Energy and Power,Industry
4295877720.0,Macro Industry,Consumer Products and Services,Industry
4295901450.0,Macro Industry,High Technology,Industry
5046725820.0,Macro Industry,Healthcare,Industry
4295889824.0,Macro Industry,Financials,Industry
5037138229.0,Macro Industry,Consumer Products and Services,Industry
5037138229.0,Macro Industry,Consumer Products and Services,Industry
5037138229.0,Macro Industry,Consumer Products and Services,Industry
5037138229.0,Macro Industry,Consumer Products and Services,Industry
5037138229.0,Macro Industry,Consumer Products and Services,Industry
5000042706.0,Macro Industry,Materials,Industry
4295877583.0,Macro Industry,Retail,Industry
4298260336.0,Macro Industry,Energy and Power,Industry
4297906412.0,Macro Industry,Energy and Power,Industry
4295864857.0,Macro Industry,Materials,Industry
4295856495.0,Macro Industry,Retail,Industry
4295860700.0,Macro Industry,Energy and Power,Industry
5040274631.0,Macro Industry,Energy and Power,Industry
4295885349.0,Macro Industry,Industrials,Industry
4295885349.0,Macro Industry,Industrials,Industry
5052160503.0,Macro Industry,Materials,Industry
4295883455.0,Macro Industry,Industrials,Industry
4295865972.0,Macro Industry,Consumer Staples,Industry
4298463850.0,Macro Industry,Industrials,Industry
5000040691.0,Macro Industry,Financials,Industry
5050655936.0,Macro Industry,Materials,Industry
4295869123.0,Macro Industry,Industrials,Industry
4295900085.0,Macro Industry,Healthcare,Industry
5035774320.0,Macro Industry,Industrials,Industry
5001209246.0,Macro Industry,Industrials,Industry
4295868073.0,Macro Industry,Consumer Products and Services,Industry
5001207818.0,Macro Industry,Financials,Industry
5079889815.0,Macro Industry,Media and Entertainment,Industry
5029074085.0,Macro Industry,Industrials,Industry
4295916183.0,Macro Industry,Financials,Industry
4295885349.0,Macro Industry,Industrials,Industry
5039145127.0,Macro Industry,High Technology,Industry
4296320095.0,Macro Industry,Consumer Staples,Industry
4295903207.0,Macro Industry,Consumer Staples,Industry
4295890828.0,Macro Industry,High Technology,Industry
4297541203.0,Macro Industry,Healthcare,Industry
4295866790.0,Macro Industry,High Technology,Industry
4295884130.0,Macro Industry,Financials,Industry
4296943069.0,Macro Industry,Materials,Industry
4298233509.0,Macro Industry,Energy and Power,Industry
4295884306.0,Macro Industry,Consumer Staples,Industry
4295890480.0,Macro Industry,Industrials,Industry
4295890480.0,Macro Industry,Industrials,Industry
4295865581.0,Macro Industry,Energy and Power,Industry
4295865581.0,Macro Industry,Energy and Power,Industry
4295907237.0,Macro Industry,Financials,Industry
4297212019.0,Macro Industry,Energy and Power,Industry
5059947931.0,Macro Industry,Financials,Industry
4295859790.0,Macro Industry,Industrials,Industry
5000432495.0,Macro Industry,Healthcare,Industry
5083359451.0,Macro Industry,Media and Entertainment,Industry
5000002320.0,Macro Industry,Consumer Staples,Industry
5035094191.0,Macro Industry,Materials,Industry
4295903722.0,Macro Industry,Energy and Power,Industry
5001206186.0,Macro Industry,Media and Entertainment,Industry
5001206186.0,Macro Industry,Media and Entertainment,Industry
4296818456.0,Macro Industry,Consumer Staples,Industry
5044012474.0,Macro Industry,Energy and Power,Industry
5037269255.0,Macro Industry,High Technology,Industry
4296087405.0,Macro Industry,Industrials,Industry
5078517775.0,Macro Industry,Consumer Products and Services,Industry
4295893611.0,Macro Industry,Energy and Power,Industry
5045947542.0,Macro Industry,Media and Entertainment,Industry
5001233478.0,Macro Industry,Media and Entertainment,Industry
4296689709.0,Macro Industry,Materials,Industry
4295873733.0,Macro Industry,Consumer Staples,Industry
4296367507.0,Macro Industry,Healthcare,Industry
5020345427.0,Macro Industry,Energy and Power,Industry
4295863424.0,Macro Industry,Energy and Power,Industry
4295863424.0,Macro Industry,Energy and Power,Industry
4295863424.0,Macro Industry,Energy and Power,Industry
4295863424.0,Macro Industry,Energy and Power,Industry
4295863424.0,Macro Industry,Energy and Power,Industry
5042943853.0,Macro Industry,Financials,Industry
