,company_id,edge_type,val_id,node_type
436,4295904811.0,Macro Industry,Energy and Power,Industry
437,4295866127.0,Macro Industry,Financials,Industry
438,5055421947.0,Macro Industry,Healthcare,Industry
439,5055421947.0,Macro Industry,Healthcare,Industry
440,4295858398.0,Macro Industry,Materials,Industry
441,5081362219.0,Macro Industry,Industrials,Industry
442,4295906528.0,Macro Industry,Industrials,Industry
443,5039586530.0,Macro Industry,Financials,Industry
444,4295898962.0,Macro Industry,Consumer Products and Services,Industry
445,4295903309.0,Macro Industry,Materials,Industry
446,5081073933.0,Macro Industry,Real Estate,Industry
447,4295886004.0,Macro Industry,Energy and Power,Industry
448,4295863937.0,Macro Industry,Retail,Industry
449,5036865268.0,Macro Industry,Energy and Power,Industry
450,5080177335.0,Macro Industry,Consumer Staples,Industry
451,5080177335.0,Macro Industry,Consumer Staples,Industry
452,4296549780.0,Macro Industry,Financials,Industry
453,5043416254.0,Macro Industry,Retail,Industry
454,5043415252.0,Macro Industry,Consumer Products and Services,Industry
455,5043415252.0,Macro Industry,Consumer Products and Services,Industry
456,4295907752.0,Macro Industry,Healthcare,Industry
457,5034749778.0,Macro Industry,Materials,Industry
458,5040244658.0,Macro Industry,High Technology,Industry
459,4295894061.0,Macro Industry,Energy and Power,Industry
460,4295860299.0,Macro Industry,Healthcare,Industry
461,4295865972.0,Macro Industry,Consumer Staples,Industry
462,5076702932.0,Macro Industry,Energy and Power,Industry
463,5061045419.0,Macro Industry,High Technology,Industry
464,4295871291.0,Macro Industry,Industrials,Industry
465,4295877080.0,Macro Industry,Consumer Products and Services,Industry
466,4295873497.0,Macro Industry,Healthcare,Industry
467,4296849849.0,Macro Industry,Industrials,Industry
468,5000843440.0,Macro Industry,Energy and Power,Industry
469,5081077904.0,Macro Industry,Retail,Industry
470,4297852561.0,Macro Industry,Consumer Staples,Industry
471,4297905458.0,Macro Industry,Materials,Industry
472,5045730518.0,Macro Industry,Retail,Industry
473,4295888654.0,Macro Industry,Retail,Industry
474,4296717654.0,Macro Industry,Energy and Power,Industry
475,4295875697.0,Macro Industry,High Technology,Industry
476,5052535675.0,Macro Industry,Financials,Industry
477,4295915684.0,Macro Industry,Financials,Industry
478,4295899858.0,Macro Industry,Industrials,Industry
479,4295877203.0,Macro Industry,Retail,Industry
480,4295909989.0,Macro Industry,Consumer Products and Services,Industry
481,4295902703.0,Macro Industry,Energy and Power,Industry
482,4296896513.0,Macro Industry,High Technology,Industry
483,4295857581.0,Macro Industry,Energy and Power,Industry
484,4295877720.0,Macro Industry,Consumer Products and Services,Industry
485,4295901450.0,Macro Industry,High Technology,Industry
486,5046725820.0,Macro Industry,Healthcare,Industry
487,4295889824.0,Macro Industry,Financials,Industry
488,5037138229.0,Macro Industry,Consumer Products and Services,Industry
489,5037138229.0,Macro Industry,Consumer Products and Services,Industry
490,5037138229.0,Macro Industry,Consumer Products and Services,Industry
