,business.type,business.value,businessLabel.xml:lang,businessLabel.type,businessLabel.value,origindate.datatype,origindate.type,origindate.value,country.type,country.value,industries.type,industries.value,ceos.type,ceos.value,chairs.type,chairs.value,hqs.type,hqs.value,groups.type,groups.value,officialname.xml:lang,officialname.type,officialname.value,employees.datatype,employees.type,employees.value,markcap.datatype,markcap.type,markcap.value,profit.datatype,profit.type,profit.value,assets.datatype,assets.type,assets.value,equity.datatype,equity.type,equity.value,country
57,uri,http://www.wikidata.org/entity/Q82813727,en,literal,McDonald's Australia,http://www.w3.org/2001/XMLSchema#dateTime,literal,1971-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,http://www.wikidata.org/entity/Q171141,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
58,uri,http://www.wikidata.org/entity/Q115202851,en,literal,Australian Doctor Group,,,,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
59,uri,http://www.wikidata.org/entity/Q16958619,en,literal,City Beach,http://www.w3.org/2001/XMLSchema#dateTime,literal,1985-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q34932,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
60,uri,http://www.wikidata.org/entity/Q18754892,en,literal,SeaLink Travel Group,http://www.w3.org/2001/XMLSchema#dateTime,literal,1989-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,http://www.wikidata.org/entity/Q9323634,literal,,literal,,literal,http://www.wikidata.org/entity/Q5112,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
61,uri,http://www.wikidata.org/entity/Q2095955,en,literal,The Courier-Mail,http://www.w3.org/2001/XMLSchema#dateTime,literal,1846-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,http://www.wikidata.org/entity/Q34932,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
62,uri,http://www.wikidata.org/entity/Q68782470,en,literal,CWP Renewables,http://www.w3.org/2001/XMLSchema#dateTime,literal,2007-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
63,uri,http://www.wikidata.org/entity/Q7969735,en,literal,Warner Music Australia,,,,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
64,uri,http://www.wikidata.org/entity/Q105432293,en,literal,Members Energy,http://www.w3.org/2001/XMLSchema#dateTime,literal,2019-12-20T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,http://www.wikidata.org/entity/Q2151621,literal,,literal,,literal,http://www.wikidata.org/entity/Q3141,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
65,uri,http://www.wikidata.org/entity/Q5196153,en,literal,Cuscal,http://www.w3.org/2001/XMLSchema#dateTime,literal,1978-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,http://www.wikidata.org/entity/Q1416657,literal,,literal,,literal,http://www.wikidata.org/entity/Q3130,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
66,uri,http://www.wikidata.org/entity/Q7600810,en,literal,Star News Group,,,,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
67,uri,http://www.wikidata.org/entity/Q17103499,en,literal,MedicAlert,http://www.w3.org/2001/XMLSchema#dateTime,literal,1956-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q954,literal,http://www.wikidata.org/entity/Q870895,literal,,literal,,literal,http://www.wikidata.org/entity/Q1011205,literal,,,,,http://www.w3.org/2001/XMLSchema#decimal,literal,27,,,,,,,,,,,,,wd:Q408
68,uri,http://www.wikidata.org/entity/Q7573564,en,literal,Spare Parts Puppet Theatre,http://www.w3.org/2001/XMLSchema#dateTime,literal,1921-01-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,,literal,,literal,,literal,,literal,,en,literal,Spare Parts Puppet Theatre,,,,,,,,,,,,,,,,wd:Q408
69,uri,http://www.wikidata.org/entity/Q108329069,en,literal,Prideful Sloth,http://www.w3.org/2001/XMLSchema#dateTime,literal,2015-05-01T00:00:00Z,uri,http://www.wikidata.org/entity/Q408,literal,http://www.wikidata.org/entity/Q941594,literal,,literal,,literal,http://www.wikidata.org/entity/Q34932,literal,,,,,,,,,,,,,,,,,,,,wd:Q408
